지역,latitude,longitude,날짜,연도,분기,지표,값
세종특별자치시,36.48,127.289,2017-04-01,2017,Q2,전출률,19.2
경기도,37.4138,127.5183,2017-04-01,2017,Q2,전출률,12.7
강원특별자치도,37.8225,128.1555,2017-04-01,2017,Q2,전출률,12.1
충청북도,36.6297,127.921,2017-04-01,2017,Q2,전출률,11.5
충청남도,36.6353,126.7404,2017-04-01,2017,Q2,전출률,11.7
전북특별자치도,35.8175,127.14,2017-04-01,2017,Q2,전출률,11.7
전라남도,34.8006,126.2994,2017-04-01,2017,Q2,전출률,10.9
경상북도,36.1584,128.7364,2017-04-01,2017,Q2,전출률,10.2
경상남도,35.2354,128.6922,2017-04-01,2017,Q2,전출률,12.3
제주특별자치도,33.4996,126.5312,2017-04-01,2017,Q2,전출률,12.0
행정구역(시도)별,,,2017-04-01,2017,Q2,순이동률,순이동률(%)
전국,,,2017-04-01,2017,Q2,순이동률,0.0
서울특별시,,,2017-04-01,2017,Q2,순이동률,-0.8
부산광역시,35.1796,129.0756,2017-04-01,2017,Q2,순이동률,-0.8
대구광역시,35.8714,128.6014,2017-04-01,2017,Q2,순이동률,-0.4
인천광역시,37.4563,126.7052,2017-04-01,2017,Q2,순이동률,0.1
광주광역시,35.1595,126.8526,2017-04-01,2017,Q2,순이동률,-0.5
대전광역시,36.3504,127.3845,2017-04-01,2017,Q2,순이동률,-1.3
울산광역시,35.5384,129.3114,2017-04-01,2017,Q2,순이동률,-0.9
세종특별자치시,36.48,127.289,2017-04-01,2017,Q2,순이동률,17.7
경기도,37.4138,127.5183,2017-04-01,2017,Q2,순이동률,0.6
강원특별자치도,37.8225,128.1555,2017-04-01,2017,Q2,순이동률,0.2
충청북도,36.6297,127.921,2017-04-01,2017,Q2,순이동률,0.2
충청남도,36.6353,126.7404,2017-04-01,2017,Q2,순이동률,1.0
전북특별자치도,35.8175,127.14,2017-04-01,2017,Q2,순이동률,-0.4
전라남도,34.8006,126.2994,2017-04-01,2017,Q2,순이동률,0.0
경상북도,36.1584,128.7364,2017-04-01,2017,Q2,순이동률,-0.3
경상남도,35.2354,128.6922,2017-04-01,2017,Q2,순이동률,0.1
제주특별자치도,33.4996,126.5312,2017-04-01,2017,Q2,순이동률,2.0
행정구역(시도)별,,,2017-07-01,2017,Q3,전입률,총전입률(%)
전국,,,2017-07-01,2017,Q3,전입률,13.6
서울특별시,,,2017-07-01,2017,Q3,전입률,14.9
부산광역시,35.1796,129.0756,2017-07-01,2017,Q3,전입률,12.7
대구광역시,35.8714,128.6014,2017-07-01,2017,Q3,전입률,12.4
인천광역시,37.4563,126.7052,2017-07-01,2017,Q3,전입률,14.2
광주광역시,35.1595,126.8526,2017-07-01,2017,Q3,전입률,13.7
대전광역시,36.3504,127.3845,2017-07-01,2017,Q3,전입률,13.1
울산광역시,35.5384,129.3114,2017-07-01,2017,Q3,전입률,10.8
세종특별자치시,36.48,127.289,2017-07-01,2017,Q3,전입률,29.1
경기도,37.4138,127.5183,2017-07-01,2017,Q3,전입률,15.1
강원특별자치도,37.8225,128.1555,2017-07-01,2017,Q3,전입률,11.8
충청북도,36.6297,127.921,2017-07-01,2017,Q3,전입률,11.8
충청남도,36.6353,126.7404,2017-07-01,2017,Q3,전입률,13.4
전북특별자치도,35.8175,127.14,2017-07-01,2017,Q3,전입률,11.4
전라남도,34.8006,126.2994,2017-07-01,2017,Q3,전입률,10.7
경상북도,36.1584,128.7364,2017-07-01,2017,Q3,전입률,12.0
경상남도,35.2354,128.6922,2017-07-01,2017,Q3,전입률,11.6
제주특별자치도,33.4996,126.5312,2017-07-01,2017,Q3,전입률,14.3
행정구역(시도)별,,,2017-07-01,2017,Q3,전출률,총전출률(%)
전국,,,2017-07-01,2017,Q3,전출률,13.6
서울특별시,,,2017-07-01,2017,Q3,전출률,16.2
부산광역시,35.1796,129.0756,2017-07-01,2017,Q3,전출률,13.2
대구광역시,35.8714,128.6014,2017-07-01,2017,Q3,전출률,13.2
인천광역시,37.4563,126.7052,2017-07-01,2017,Q3,전출률,14.5
광주광역시,35.1595,126.8526,2017-07-01,2017,Q3,전출률,13.8
대전광역시,36.3504,127.3845,2017-07-01,2017,Q3,전출률,13.8
울산광역시,35.5384,129.3114,2017-07-01,2017,Q3,전출률,12.0
세종특별자치시,36.48,127.289,2017-07-01,2017,Q3,전출률,17.6
경기도,37.4138,127.5183,2017-07-01,2017,Q3,전출률,14.1
강원특별자치도,37.8225,128.1555,2017-07-01,2017,Q3,전출률,11.8
충청북도,36.6297,127.921,2017-07-01,2017,Q3,전출률,11.8
충청남도,36.6353,126.7404,2017-07-01,2017,Q3,전출률,12.4
전북특별자치도,35.8175,127.14,2017-07-01,2017,Q3,전출률,11.8
전라남도,34.8006,126.2994,2017-07-01,2017,Q3,전출률,11.1
경상북도,36.1584,128.7364,2017-07-01,2017,Q3,전출률,12.0
경상남도,35.2354,128.6922,2017-07-01,2017,Q3,전출률,11.5
제주특별자치도,33.4996,126.5312,2017-07-01,2017,Q3,전출률,11.7
행정구역(시도)별,,,2017-07-01,2017,Q3,순이동률,순이동률(%)
전국,,,2017-07-01,2017,Q3,순이동률,0.0
서울특별시,,,2017-07-01,2017,Q3,순이동률,-1.2
부산광역시,35.1796,129.0756,2017-07-01,2017,Q3,순이동률,-0.5
대구광역시,35.8714,128.6014,2017-07-01,2017,Q3,순이동률,-0.7
인천광역시,37.4563,126.7052,2017-07-01,2017,Q3,순이동률,-0.2
광주광역시,35.1595,126.8526,2017-07-01,2017,Q3,순이동률,-0.1
대전광역시,36.3504,127.3845,2017-07-01,2017,Q3,순이동률,-0.7
울산광역시,35.5384,129.3114,2017-07-01,2017,Q3,순이동률,-1.2
세종특별자치시,36.48,127.289,2017-07-01,2017,Q3,순이동률,11.5
경기도,37.4138,127.5183,2017-07-01,2017,Q3,순이동률,1.0
강원특별자치도,37.8225,128.1555,2017-07-01,2017,Q3,순이동률,0.1
충청북도,36.6297,127.921,2017-07-01,2017,Q3,순이동률,0.1
충청남도,36.6353,126.7404,2017-07-01,2017,Q3,순이동률,0.9
전북특별자치도,35.8175,127.14,2017-07-01,2017,Q3,순이동률,-0.4
전라남도,34.8006,126.2994,2017-07-01,2017,Q3,순이동률,-0.4
경상북도,36.1584,128.7364,2017-07-01,2017,Q3,순이동률,0.0
경상남도,35.2354,128.6922,2017-07-01,2017,Q3,순이동률,0.1
제주특별자치도,33.4996,126.5312,2017-07-01,2017,Q3,순이동률,2.7
행정구역(시도)별,,,2017-10-01,2017,Q4,전입률,총전입률(%)
전국,,,2017-10-01,2017,Q4,전입률,13.5
서울특별시,,,2017-10-01,2017,Q4,전입률,13.7
부산광역시,35.1796,129.0756,2017-10-01,2017,Q4,전입률,11.3
대구광역시,35.8714,128.6014,2017-10-01,2017,Q4,전입률,14.3
인천광역시,37.4563,126.7052,2017-10-01,2017,Q4,전입률,14.0
광주광역시,35.1595,126.8526,2017-10-01,2017,Q4,전입률,13.5
대전광역시,36.3504,127.3845,2017-10-01,2017,Q4,전입률,13.2
울산광역시,35.5384,129.3114,2017-10-01,2017,Q4,전입률,11.9
세종특별자치시,36.48,127.289,2017-10-01,2017,Q4,전입률,27.7
경기도,37.4138,127.5183,2017-10-01,2017,Q4,전입률,14.9
강원특별자치도,37.8225,128.1555,2017-10-01,2017,Q4,전입률,14.2
충청북도,36.6297,127.921,2017-10-01,2017,Q4,전입률,11.8
충청남도,36.6353,126.7404,2017-10-01,2017,Q4,전입률,12.5
전북특별자치도,35.8175,127.14,2017-10-01,2017,Q4,전입률,12.4
전라남도,34.8006,126.2994,2017-10-01,2017,Q4,전입률,12.4
경상북도,36.1584,128.7364,2017-10-01,2017,Q4,전입률,11.6
경상남도,35.2354,128.6922,2017-10-01,2017,Q4,전입률,11.5
제주특별자치도,33.4996,126.5312,2017-10-01,2017,Q4,전입률,15.1
행정구역(시도)별,,,2017-10-01,2017,Q4,전출률,총전출률(%)
전국,,,2017-10-01,2017,Q4,전출률,13.5
서울특별시,,,2017-10-01,2017,Q4,전출률,15.3
부산광역시,35.1796,129.0756,2017-10-01,2017,Q4,전출률,12.6
대구광역시,35.8714,128.6014,2017-10-01,2017,Q4,전출률,14.8
인천광역시,37.4563,126.7052,2017-10-01,2017,Q4,전출률,14.0
광주광역시,35.1595,126.8526,2017-10-01,2017,Q4,전출률,14.4
대전광역시,36.3504,127.3845,2017-10-01,2017,Q4,전출률,14.6
울산광역시,35.5384,129.3114,2017-10-01,2017,Q4,전출률,12.3
세종특별자치시,36.48,127.289,2017-10-01,2017,Q4,전출률,16.0
경기도,37.4138,127.5183,2017-10-01,2017,Q4,전출률,13.7
강원특별자치도,37.8225,128.1555,2017-10-01,2017,Q4,전출률,13.4
충청북도,36.6297,127.921,2017-10-01,2017,Q4,전출률,11.5
충청남도,36.6353,126.7404,2017-10-01,2017,Q4,전출률,11.8
전북특별자치도,35.8175,127.14,2017-10-01,2017,Q4,전출률,12.4
전라남도,34.8006,126.2994,2017-10-01,2017,Q4,전출률,11.9
경상북도,36.1584,128.7364,2017-10-01,2017,Q4,전출률,11.4
경상남도,35.2354,128.6922,2017-10-01,2017,Q4,전출률,10.9
제주특별자치도,33.4996,126.5312,2017-10-01,2017,Q4,전출률,13.0
행정구역(시도)별,,,2017-10-01,2017,Q4,순이동률,순이동률(%)
전국,,,2017-10-01,2017,Q4,순이동률,0.0
서울특별시,,,2017-10-01,2017,Q4,순이동률,-1.6
부산광역시,35.1796,129.0756,2017-10-01,2017,Q4,순이동률,-1.4
대구광역시,35.8714,128.6014,2017-10-01,2017,Q4,순이동률,-0.6
인천광역시,37.4563,126.7052,2017-10-01,2017,Q4,순이동률,0.0
광주광역시,35.1595,126.8526,2017-10-01,2017,Q4,순이동률,-0.9
대전광역시,36.3504,127.3845,2017-10-01,2017,Q4,순이동률,-1.4
울산광역시,35.5384,129.3114,2017-10-01,2017,Q4,순이동률,-0.4
세종특별자치시,36.48,127.289,2017-10-01,2017,Q4,순이동률,11.7
경기도,37.4138,127.5183,2017-10-01,2017,Q4,순이동률,1.2
강원특별자치도,37.8225,128.1555,2017-10-01,2017,Q4,순이동률,0.8
충청북도,36.6297,127.921,2017-10-01,2017,Q4,순이동률,0.3
충청남도,36.6353,126.7404,2017-10-01,2017,Q4,순이동률,0.7
전북특별자치도,35.8175,127.14,2017-10-01,2017,Q4,순이동률,0.0
전라남도,34.8006,126.2994,2017-10-01,2017,Q4,순이동률,0.5
경상북도,36.1584,128.7364,2017-10-01,2017,Q4,순이동률,0.2
경상남도,35.2354,128.6922,2017-10-01,2017,Q4,순이동률,0.6
제주특별자치도,33.4996,126.5312,2017-10-01,2017,Q4,순이동률,2.1
행정구역(시도)별,,,2018-01-01,2018,Q1,전입률,총전입률(%)
전국,,,2018-01-01,2018,Q1,전입률,16.4
서울특별시,,,2018-01-01,2018,Q1,전입률,16.7
부산광역시,35.1796,129.0756,2018-01-01,2018,Q1,전입률,13.9
대구광역시,35.8714,128.6014,2018-01-01,2018,Q1,전입률,14.3
인천광역시,37.4563,126.7052,2018-01-01,2018,Q1,전입률,18.0
광주광역시,35.1595,126.8526,2018-01-01,2018,Q1,전입률,16.9
대전광역시,36.3504,127.3845,2018-01-01,2018,Q1,전입률,16.3
울산광역시,35.5384,129.3114,2018-01-01,2018,Q1,전입률,13.5
세종특별자치시,36.48,127.289,2018-01-01,2018,Q1,전입률,36.0
경기도,37.4138,127.5183,2018-01-01,2018,Q1,전입률,17.9
강원특별자치도,37.8225,128.1555,2018-01-01,2018,Q1,전입률,16.5
충청북도,36.6297,127.921,2018-01-01,2018,Q1,전입률,15.4
충청남도,36.6353,126.7404,2018-01-01,2018,Q1,전입률,16.1
전북특별자치도,35.8175,127.14,2018-01-01,2018,Q1,전입률,16.3
전라남도,34.8006,126.2994,2018-01-01,2018,Q1,전입률,14.3
경상북도,36.1584,128.7364,2018-01-01,2018,Q1,전입률,13.6
경상남도,35.2354,128.6922,2018-01-01,2018,Q1,전입률,14.0
제주특별자치도,33.4996,126.5312,2018-01-01,2018,Q1,전입률,21.6
행정구역(시도)별,,,2018-01-01,2018,Q1,전출률,총전출률(%)
전국,,,2018-01-01,2018,Q1,전출률,16.4
서울특별시,,,2018-01-01,2018,Q1,전출률,17.6
부산광역시,35.1796,129.0756,2018-01-01,2018,Q1,전출률,14.7
대구광역시,35.8714,128.6014,2018-01-01,2018,Q1,전출률,14.8
인천광역시,37.4563,126.7052,2018-01-01,2018,Q1,전출률,17.8
